Event Name,Event Type,Duration (hours),Participants,Venue Type,Location,Number of Devices,Avg Power per Device (kW),Energy Usage Hours,Transport Mode,Transport Distance (km),Attendees Using Transport,Meal Type,Number of Meals,Printed Material (kg),Decoration Material (kg),Total Emissions (kg CO2)
Board Meeting,Trade Show,3,750,Office,Dubai,49,0.75,3,Bus,447.43,390,Vegetarian,750,14.67,9.72,11698.77
Conference,Corporate Training,28,1251,Coworking Space,London,35,0.36,28,Car,341.24,21,Non-Vegetarian,1251,18.99,39.34,6176.43
Séminaire,Fundraiser,16,1328,Outdoor,New York,29,1.0,16,Bus,213.76,433,Mixed,1328,7.94,27.41,9176.18
Trade Show,Corporate Training,28,1289,Office,New York,21,1.39,28,Car,369.9,488,Non-Vegetarian,1289,8.69,45.8,42936.49
Team Building,Board Meeting,42,535,Hotel,Berlin,43,1.42,42,Bicycle,352.67,372,Mixed,535,9.33,6.53,2651.48
Fundraiser,Seminar,24,686,Hotel,Berlin,28,1.93,24,Car,119.02,66,Vegetarian,686,16.82,45.5,3451.74
Séminaire,Corporate Training,40,1418,Office,Berlin,36,1.1,40,Bus,124.59,403,Non-Vegetarian,1418,3.39,31.77,8837.91
Team Building,Board Meeting,28,1224,Outdoor,Berlin,5,1.48,28,Car,262.6,459,Vegetarian,1224,5.07,25.43,27312.61
Networking,Team Building,2,1461,Convention Center,Berlin,19,0.91,2,Train,215.13,474,Vegan,1461,4.78,26.58,5619.87
Trade Show,Team Building,20,219,Coworking Space,Sydney,17,0.96,20,Bus,16.16,397,Mixed,219,17.47,36.42,1203.41
Lancement de Produit,Product Launch,7,1150,Hotel,Dubai,26,1.86,7,Bicycle,389.84,308,Vegan,1150,10.99,45.74,1432.72
Team Building,Board Meeting,22,1174,Office,New York,48,1.83,22,Bicycle,37.58,262,Vegetarian,1174,2.84,14.31,2761.54
Séminaire,Networking Event,26,1780,Outdoor,Berlin,10,1.36,26,Train,87.9,351,Mixed,1780,9.1,34.07,5947.26
Corporate Training,Workshop,25,1115,Coworking Space,Dubai,34,1.22,25,Train,37.74,377,Non-Vegetarian,1115,5.88,27.94,5057.76
Réunion du Conseil,Workshop,14,652,Hotel,London,5,1.83,14,Train,460.29,144,Vegetarian,652,3.64,37.67,3775.94
Product Launch,Product Launch,46,1740,Convention Center,Sydney,15,1.67,46,Plane,283.86,500,Mixed,1740,3.49,24.4,40464.43
Événement de Bienfaisance,Trade Show,20,1821,Outdoor,Sydney,28,1.99,20,Train,495.69,262,Vegan,1821,3.61,35.09,7650.43
Corporate Training,Seminar,3,1661,Hotel,Sydney,34,1.8,3,Bus,82.46,200,Vegetarian,1661,12.97,15.43,3629.62
Trade Show,Seminar,8,1964,Outdoor,New York,17,0.53,8,Train,494.81,116,Vegetarian,1964,4.96,5.66,5299.2
Team Building,Conference,38,1527,Outdoor,Sydney,8,1.62,38,Bus,480.53,161,Mixed,1527,7.14,6.3,8732.54
Product Launch,Networking Event,40,192,Outdoor,New York,6,0.9,40,Bicycle,401.02,172,Non-Vegetarian,192,19.11,10.0,838.22
Team Building,Fundraiser,14,403,Coworking Space,New York,5,1.23,14,Bus,356.85,155,Non-Vegetarian,403,1.21,9.41,4793.5
Networking Event,Corporate Training,47,336,Hotel,Dubai,31,1.46,47,Bicycle,231.84,140,Mixed,336,12.21,9.41,1946.85
Product Launch,Workshop,25,220,Office,Berlin,14,0.55,25,Plane,282.17,287,Vegan,220,17.5,1.89,20600.73
Trade Show,Team Building,44,1574,Office,Tokyo,35,0.93,44,Bicycle,78.52,366,Mixed,1574,14.71,1.43,4683.38
Corporate Training,Product Launch,44,1133,Office,Dubai,39,0.93,44,Car,239.98,494,Non-Vegetarian,1133,12.09,1.74,29686.63
Atelier,Product Launch,9,1205,Coworking Space,Dubai,20,1.73,9,Bicycle,123.84,79,Non-Vegetarian,1205,12.51,24.09,4446.4
Networking,Networking Event,11,1480,Hotel,New York,21,1.87,11,Train,7.27,428,Vegan,1480,2.41,40.07,1905.41
Seminar,Team Building,7,1631,Outdoor,New York,44,0.88,7,Plane,189.34,333,Mixed,1631,4.56,14.98,20014.66
Networking,Corporate Training,28,696,Hotel,Paris,39,0.41,28,Train,125.18,103,Mixed,696,16.07,48.8,2609.34
Networking,Workshop,39,492,Convention Center,Paris,30,1.24,39,Plane,405.92,378,Mixed,492,13.97,27.49,40397.76
Séminaire,Team Building,18,1413,Coworking Space,Sydney,22,1.22,18,Walking,448.63,361,Non-Vegetarian,1413,15.6,13.57,5245.4
Corporate Training,Corporate Training,3,1138,Office,Paris,25,0.21,3,Bicycle,414.14,369,Vegan,1138,17.11,16.86,1213.82
Lancement de Produit,Board Meeting,10,607,Office,New York,17,0.41,10,Bicycle,16.96,440,Mixed,607,1.51,7.4,1570.17
Formation,Workshop,42,1284,Convention Center,Tokyo,15,1.0,42,Train,400.2,233,Non-Vegetarian,1284,0.56,23.61,8587.2
Atelier,Workshop,19,496,Hotel,London,28,0.39,19,Plane,72.98,168,Mixed,496,16.42,34.5,4510.74
Trade Show,Team Building,23,1399,Hotel,New York,40,1.59,23,Bicycle,313.36,307,Vegan,1399,3.77,31.28,2200.5
Product Launch,Networking Event,3,79,Coworking Space,Tokyo,5,1.09,3,Bicycle,361.34,147,Mixed,79,12.39,48.88,328.22
Formation,Team Building,24,344,Office,Sydney,7,1.5,24,Bus,247.91,23,Vegetarian,344,5.39,5.51,1005.92
Seminar,Networking Event,33,1680,Office,London,39,0.19,33,Bicycle,4.67,155,Non-Vegetarian,1680,11.6,49.51,6124.49
Conférence,Workshop,3,637,Convention Center,London,16,0.58,3,Train,416.07,264,Vegan,637,17.51,17.43,5114.5
Workshop,Conference,42,1626,Coworking Space,Sydney,32,0.19,42,Car,52.89,60,Vegetarian,1626,11.93,30.77,3318.49
Networking Event,Board Meeting,36,350,Hotel,Dubai,31,0.67,36,Walking,471.49,326,Non-Vegetarian,350,11.51,47.06,1716.0
Lancement de Produit,Seminar,19,1967,Office,Paris,47,0.2,19,Plane,437.44,183,Vegetarian,1967,10.96,12.05,23098.7
Seminar,Corporate Training,43,1697,Office,Sydney,11,1.78,43,Walking,387.38,71,Vegetarian,1697,9.74,44.47,3074.89
Product Launch,Seminar,21,863,Coworking Space,Tokyo,18,0.41,21,Car,82.35,61,Mixed,863,19.09,19.11,3366.29
Corporate Training,Networking Event,41,1578,Coworking Space,London,23,1.0,41,Bicycle,488.09,318,Non-Vegetarian,1578,10.88,23.57,6063.4
Lancement de Produit,Team Building,9,435,Outdoor,Dubai,38,0.1,9,Plane,216.71,453,Non-Vegetarian,435,7.82,46.19,26190.03
Séminaire,Seminar,10,958,Outdoor,New York,10,1.49,10,Walking,148.95,455,Non-Vegetarian,958,13.85,8.46,3472.12
Workshop,Conference,23,93,Outdoor,New York,45,0.99,23,Bus,82.39,459,Mixed,93,8.99,42.98,3117.79
Networking,Trade Show,19,1187,Outdoor,Dubai,45,1.44,19,Train,337.53,408,Mixed,1187,12.49,41.22,9199.01
Réunion du Conseil,Workshop,15,1792,Convention Center,Paris,16,1.86,15,Train,334.66,74,Mixed,1792,2.9,43.28,5786.15
Fundraiser,Trade Show,48,864,Office,Berlin,38,0.12,48,Plane,96.17,64,Non-Vegetarian,864,10.29,29.66,4752.06
Atelier,Workshop,35,591,Hotel,Paris,17,0.53,35,Train,40.44,37,Non-Vegetarian,591,10.3,3.13,2312.89
Networking,Team Building,46,30,Convention Center,London,11,0.72,46,Bicycle,190.48,92,Vegan,30,19.66,44.69,340.86
Trade Show,Workshop,12,1669,Office,Dubai,14,1.31,12,Bicycle,349.63,190,Non-Vegetarian,1669,5.2,10.3,5982.54
Événement de Bienfaisance,Corporate Training,41,491,Office,Sydney,32,1.31,41,Bus,212.25,208,Mixed,491,4.36,10.89,4766.24
Conference,Team Building,46,892,Coworking Space,Tokyo,22,0.25,46,Walking,324.36,339,Vegetarian,892,10.65,10.4,1506.6
Team Building,Conference,11,1824,Office,New York,41,1.34,11,Bicycle,351.38,407,Non-Vegetarian,1824,9.33,17.65,6740.13
Atelier,Conference,42,1217,Office,Dubai,8,1.03,42,Bicycle,388.75,256,Non-Vegetarian,1217,8.08,49.34,4547.38
Product Launch,Networking Event,37,889,Outdoor,Dubai,10,1.48,37,Train,127.42,382,Non-Vegetarian,889,7.57,41.81,5431.04
Networking Event,Corporate Training,8,1601,Coworking Space,New York,30,0.65,8,Plane,277.82,205,Non-Vegetarian,1601,19.95,12.14,19983.96
Conference,Fundraiser,25,258,Convention Center,Tokyo,12,0.69,25,Car,59.22,493,Vegetarian,258,11.52,44.65,6733.89
Fundraiser,Corporate Training,17,673,Hotel,Dubai,21,0.11,17,Walking,157.1,489,Vegetarian,673,7.57,6.02,1056.32
Atelier,Fundraiser,21,1086,Outdoor,London,8,1.66,21,Train,393.57,81,Vegetarian,1086,2.62,30.31,3109.47
Fundraiser,Team Building,33,533,Hotel,Sydney,41,1.21,33,Walking,296.21,384,Mixed,533,9.47,44.01,2258.03
Lancement de Produit,Team Building,12,1403,Office,London,32,1.36,12,Bicycle,14.84,264,Non-Vegetarian,1403,2.08,48.38,5272.54
Seminar,Team Building,26,216,Convention Center,Tokyo,9,0.32,26,Walking,312.58,316,Vegan,216,6.26,41.16,348.28
Trade Show,Workshop,2,99,Hotel,Sydney,36,0.74,2,Bicycle,233.55,309,Vegan,99,16.32,20.41,199.1
Réunion du Conseil,Product Launch,47,1743,Convention Center,Tokyo,39,0.95,47,Train,449.15,422,Vegan,1743,5.38,30.11,10266.31
Formation,Trade Show,30,1242,Office,Berlin,36,1.23,30,Car,152.64,488,Non-Vegetarian,1242,6.08,40.26,20746.43
Corporate Training,Corporate Training,39,1724,Outdoor,Berlin,50,1.51,39,Car,44.92,302,Mixed,1724,10.39,40.5,8732.86
Trade Show,Seminar,4,1278,Convention Center,London,6,0.51,4,Bicycle,367.57,274,Vegan,1278,17.86,40.41,1400.66
Fundraiser,Conference,40,1959,Hotel,Dubai,10,1.22,40,Bicycle,203.2,167,Non-Vegetarian,1959,19.4,36.19,7211.68
Team Building,Product Launch,4,1837,Hotel,Tokyo,29,0.21,4,Bus,199.47,347,Vegetarian,1837,10.34,40.1,7021.53
Atelier,Product Launch,25,900,Outdoor,Paris,36,0.69,25,Bicycle,245.45,498,Vegetarian,900,3.59,13.13,1693.94
Événement de Bienfaisance,Seminar,1,568,Hotel,New York,16,0.24,1,Walking,191.83,358,Vegan,568,18.94,38.31,684.42
Board Meeting,Board Meeting,34,96,Coworking Space,Paris,24,0.69,34,Plane,223.68,439,Vegetarian,96,2.03,31.35,25041.16
Atelier,Conference,37,391,Coworking Space,Sydney,47,1.37,37,Walking,292.69,500,Vegan,391,13.91,44.43,1698.89
Atelier,Seminar,30,1759,Coworking Space,Sydney,7,1.49,30,Walking,259.26,497,Mixed,1759,10.43,47.75,4670.31
Conférence,Conference,28,1632,Coworking Space,New York,37,1.42,28,Bus,54.58,280,Non-Vegetarian,1632,9.61,4.7,7393.12
Networking Event,Product Launch,45,598,Office,Berlin,24,0.19,45,Bicycle,106.0,257,Non-Vegetarian,598,16.21,21.25,2270.52
Fundraiser,Team Building,30,860,Office,Paris,8,0.88,30,Bus,486.14,297,Vegan,860,5.83,43.3,9726.87
Événement de Bienfaisance,Seminar,29,198,Outdoor,Berlin,5,1.86,29,Train,59.56,410,Vegetarian,198,11.32,26.66,1484.59
Team Building,Corporate Training,4,603,Outdoor,New York,42,0.26,4,Car,250.05,238,Vegetarian,603,10.48,18.01,13480.82
Atelier,Seminar,36,1624,Outdoor,Sydney,31,0.9,36,Bicycle,376.05,326,Vegan,1624,11.24,16.49,2181.66
Seminar,Corporate Training,27,344,Convention Center,Tokyo,32,0.18,27,Car,74.97,206,Mixed,344,12.43,24.64,4255.1
Lancement de Produit,Corporate Training,16,1251,Outdoor,London,43,0.19,16,Plane,194.98,406,Mixed,1251,0.78,25.46,23035.81
Séminaire,Board Meeting,1,1668,Convention Center,New York,41,1.05,1,Train,210.19,195,Vegetarian,1668,13.68,47.68,4285.73
Conference,Team Building,41,1632,Office,Dubai,38,0.4,41,Bicycle,335.41,272,Vegetarian,1632,17.8,4.66,2804.52
Workshop,Seminar,47,1656,Hotel,London,29,0.83,47,Plane,338.53,27,Non-Vegetarian,1656,1.49,21.23,8692.16
Seminar,Trade Show,26,1049,Outdoor,Dubai,9,2.0,26,Plane,246.92,478,Vegetarian,1049,8.68,40.56,31412.92
Workshop,Board Meeting,16,544,Hotel,Dubai,26,1.78,16,Bus,218.17,271,Vegetarian,544,7.23,22.4,4792.94
Product Launch,Fundraiser,7,1972,Hotel,New York,16,1.66,7,Bus,475.54,366,Non-Vegetarian,1972,17.8,44.94,17563.3
Team Building,Fundraiser,14,1234,Outdoor,New York,19,1.21,14,Car,381.27,500,Mixed,1234,15.61,21.06,43352.62
Corporate Training,Board Meeting,1,738,Hotel,Berlin,49,0.64,1,Car,391.14,435,Vegan,738,16.47,34.97,36587.2
Board Meeting,Workshop,35,582,Outdoor,New York,43,1.4,35,Walking,472.44,69,Mixed,582,11.24,47.89,2626.76
Formation,Board Meeting,12,1643,Hotel,New York,7,1.11,12,Car,53.89,141,Vegetarian,1643,18.64,26.21,4196.5
Formation,Networking Event,16,772,Hotel,New York,11,1.49,16,Bicycle,85.07,441,Vegetarian,772,10.54,9.93,1330.06
Conference,Corporate Training,42,1180,Convention Center,Dubai,9,0.75,42,Bus,294.31,143,Non-Vegetarian,1180,19.26,21.84,6879.13
Fundraiser,Fundraiser,26,993,Outdoor,London,23,1.06,26,Train,463.47,157,Mixed,993,0.88,34.44,5780.67
Atelier,Board Meeting,47,859,Convention Center,Paris,35,0.85,47,Bus,356.91,182,Non-Vegetarian,859,10.21,20.25,7664.0
Événement de Bienfaisance,Conference,1,1972,Hotel,Paris,23,0.37,1,Plane,407.01,284,Non-Vegetarian,1972,16.67,40.72,35918.74
Lancement de Produit,Product Launch,8,682,Hotel,Tokyo,16,1.52,8,Walking,250.82,119,Vegan,682,10.49,6.47,813.2
Conférence,Team Building,24,1975,Hotel,Tokyo,7,0.6,24,Plane,384.65,31,Non-Vegetarian,1975,6.49,26.69,10010.3
Workshop,Seminar,26,1663,Hotel,Dubai,8,0.72,26,Bicycle,239.54,176,Vegetarian,1663,18.21,17.3,2640.4
Trade Show,Workshop,43,522,Convention Center,Dubai,5,0.53,43,Train,17.24,159,Non-Vegetarian,522,0.69,26.64,2048.28
Atelier,Product Launch,47,794,Office,Tokyo,17,0.46,47,Walking,370.1,53,Vegan,794,9.81,41.56,1080.51
Atelier,Workshop,1,345,Hotel,London,13,0.5,1,Car,299.43,38,Non-Vegetarian,345,5.15,46.6,3703.7
Team Building,Workshop,34,763,Office,Tokyo,13,1.75,34,Train,481.94,278,Vegan,763,15.38,1.88,6543.44
Formation,Workshop,9,1747,Outdoor,Dubai,49,1.29,9,Train,266.52,31,Non-Vegetarian,1747,17.04,26.45,6816.41
Trade Show,Product Launch,25,409,Outdoor,Berlin,42,0.91,25,Bicycle,439.58,286,Non-Vegetarian,409,2.27,43.95,2001.69
Product Launch,Board Meeting,31,1447,Office,Paris,13,1.52,31,Train,352.32,290,Mixed,1447,15.6,6.54,8054.97
Networking,Corporate Training,23,1735,Coworking Space,Sydney,39,0.44,23,Car,268.16,487,Vegan,1735,2.28,45.2,29452.02
Conférence,Trade Show,21,1426,Office,Tokyo,21,1.79,21,Walking,132.19,246,Vegan,1426,19.98,8.97,1878.6
Fundraiser,Corporate Training,40,800,Hotel,Paris,5,1.81,40,Plane,421.01,378,Non-Vegetarian,800,19.44,19.32,42843.96
Séminaire,Seminar,48,1453,Outdoor,Sydney,50,0.79,48,Walking,246.31,427,Non-Vegetarian,1453,4.83,33.28,6109.72
Conference,Team Building,18,1061,Outdoor,Sydney,39,0.14,18,Plane,2.81,233,Mixed,1061,9.38,31.43,2946.94
Corporate Training,Board Meeting,37,1081,Hotel,Tokyo,28,0.12,37,Walking,281.43,141,Mixed,1081,4.82,37.91,2850.12
Fundraiser,Workshop,37,1398,Convention Center,Tokyo,36,1.29,37,Bus,242.97,485,Vegan,1398,3.09,28.37,9390.49
Corporate Training,Corporate Training,4,62,Outdoor,Berlin,45,0.57,4,Plane,491.39,173,Vegetarian,62,4.12,1.26,21407.68
Networking,Corporate Training,45,1803,Coworking Space,Paris,7,1.61,45,Bus,58.56,14,Vegan,1803,17.15,41.93,2223.93
Board Meeting,Fundraiser,40,804,Office,Dubai,29,0.96,40,Car,233.12,202,Mixed,804,6.8,37.44,12544.23
Networking,Workshop,34,1068,Coworking Space,Tokyo,46,0.74,34,Walking,84.48,335,Mixed,1068,8.22,6.44,3278.0
Événement de Bienfaisance,Workshop,23,1090,Outdoor,Tokyo,47,1.84,23,Bicycle,346.52,322,Mixed,1090,6.22,26.87,3785.7
Formation,Product Launch,7,735,Office,Sydney,45,0.69,7,Car,414.68,450,Vegetarian,735,17.73,42.97,40519.83
Team Building,Workshop,16,1220,Convention Center,Dubai,6,0.37,16,Walking,330.52,406,Non-Vegetarian,1220,9.24,5.55,4317.34
Seminar,Seminar,48,1842,Office,New York,19,0.75,48,Walking,357.01,288,Mixed,1842,6.85,30.18,5021.06
Trade Show,Team Building,36,926,Convention Center,Tokyo,17,1.35,36,Bus,106.79,362,Vegan,926,7.23,32.4,3737.84
Lancement de Produit,Conference,39,1923,Coworking Space,Dubai,39,0.6,39,Bus,224.8,468,Mixed,1923,16.19,25.04,11658.64
Formation,Trade Show,16,1345,Convention Center,Dubai,41,0.75,16,Bicycle,177.72,97,Non-Vegetarian,1345,6.17,13.27,4992.38
Networking,Fundraiser,21,728,Convention Center,Paris,39,1.6,21,Train,141.78,269,Non-Vegetarian,728,4.73,1.65,4741.51
Événement de Bienfaisance,Team Building,38,492,Convention Center,Tokyo,42,1.63,38,Bus,437.62,13,Non-Vegetarian,492,7.36,29.22,3437.24
Networking Event,Team Building,12,1866,Coworking Space,Paris,39,1.0,12,Bus,40.36,338,Vegan,1866,7.7,34.05,3002.0
Seminar,Team Building,12,20,Hotel,Dubai,16,0.31,12,Bicycle,370.09,429,Vegan,20,12.51,45.04,164.86
Seminar,Team Building,47,1231,Office,Paris,7,1.64,47,Plane,350.42,16,Mixed,1231,7.83,17.13,4798.88
Atelier,Conference,18,1263,Outdoor,Sydney,32,1.38,18,Car,230.02,213,Mixed,1263,13.99,6.88,13885.47
Formation,Seminar,24,178,Outdoor,Paris,41,0.37,24,Bus,447.82,264,Non-Vegetarian,178,10.51,41.93,8003.39
Team Building,Corporate Training,12,191,Coworking Space,Paris,36,0.98,12,Plane,214.84,40,Vegan,191,17.27,17.16,2619.94
Networking Event,Seminar,19,228,Office,Paris,19,1.1,19,Train,256.19,487,Vegetarian,228,16.73,22.22,5609.03
Réunion du Conseil,Conference,34,127,Office,Sydney,39,1.33,34,Bus,81.32,55,Non-Vegetarian,127,7.89,28.63,1667.69
Corporate Training,Fundraiser,44,1105,Hotel,Paris,18,0.6,44,Walking,294.6,71,Vegetarian,1105,16.11,44.6,2016.52
Team Building,Board Meeting,44,1829,Office,Tokyo,32,1.99,44,Walking,95.86,120,Vegetarian,1829,18.65,8.1,4197.96
Seminar,Trade Show,36,1241,Coworking Space,Berlin,46,1.62,36,Car,412.96,61,Non-Vegetarian,1241,19.71,39.98,11094.26
Networking,Workshop,45,1429,Hotel,Paris,15,0.54,45,Bus,474.13,42,Mixed,1429,13.05,15.26,5006.18
Réunion du Conseil,Conference,38,1973,Office,New York,34,0.42,38,Car,233.31,75,Vegetarian,1973,10.31,2.14,6930.35
Team Building,Seminar,27,890,Outdoor,London,48,0.82,27,Bus,439.03,489,Non-Vegetarian,890,12.3,38.87,16629.84
Conference,Corporate Training,44,1751,Hotel,Tokyo,42,1.05,44,Plane,260.31,141,Vegetarian,1751,6.41,43.7,12872.85
Product Launch,Corporate Training,11,370,Coworking Space,Tokyo,16,0.38,11,Bicycle,485.82,117,Vegan,370,0.85,43.25,491.64
Seminar,Seminar,33,1825,Convention Center,Sydney,28,0.41,33,Car,290.33,74,Non-Vegetarian,1825,14.44,31.28,11180.09
Board Meeting,Workshop,5,664,Convention Center,London,38,0.66,5,Walking,284.72,47,Vegetarian,664,11.23,27.27,1135.7
Séminaire,Workshop,34,546,Convention Center,London,10,1.33,34,Bicycle,165.09,407,Vegetarian,546,5.41,36.7,1129.32
Lancement de Produit,Conference,24,625,Hotel,New York,35,1.53,24,Walking,135.95,79,Vegetarian,625,11.47,15.51,1634.06
Workshop,Product Launch,27,92,Office,Sydney,14,0.77,27,Car,165.14,176,Vegetarian,92,7.13,48.41,6498.18
Séminaire,Team Building,44,583,Hotel,London,47,1.62,44,Car,44.07,450,Vegan,583,5.43,47.12,6527.8
Trade Show,Trade Show,22,1033,Office,Tokyo,44,1.67,22,Car,301.86,27,Mixed,1033,17.98,33.59,5205.47
Conference,Corporate Training,19,1245,Convention Center,New York,30,1.57,19,Car,248.53,139,Mixed,1245,10.52,25.63,10886.84
Réunion du Conseil,Team Building,15,1468,Office,Dubai,38,1.29,15,Train,139.14,64,Mixed,1468,19.41,39.67,4512.01
Corporate Training,Team Building,31,1956,Convention Center,Berlin,42,1.5,31,Bus,141.1,461,Mixed,1956,14.63,25.36,9849.31
Formation,Product Launch,4,1209,Outdoor,Dubai,31,1.64,4,Bus,353.12,289,Mixed,1209,8.82,7.35,9279.62
Lancement de Produit,Conference,3,1336,Office,Berlin,16,1.55,3,Bicycle,373.94,80,Vegetarian,1336,17.89,16.27,2109.52
Atelier,Product Launch,16,632,Convention Center,Tokyo,22,0.76,16,Bicycle,400.13,237,Vegan,632,7.69,9.83,800.8
Networking Event,Trade Show,41,838,Office,New York,38,0.34,41,Plane,381.3,229,Vegan,838,5.07,25.78,22993.99
Board Meeting,Fundraiser,29,1957,Outdoor,Tokyo,45,0.81,29,Train,12.88,205,Non-Vegetarian,1957,13.97,25.71,7563.0
Workshop,Product Launch,45,725,Hotel,Paris,31,1.08,45,Bicycle,291.42,121,Non-Vegetarian,725,15.41,33.27,3388.16
Fundraiser,Networking Event,32,188,Coworking Space,Paris,50,1.35,32,Walking,490.63,14,Non-Vegetarian,188,16.78,48.24,1868.04
Workshop,Trade Show,1,1961,Coworking Space,Berlin,43,1.04,1,Train,271.94,324,Vegetarian,1961,8.02,28.64,6561.52
Formation,Seminar,34,1902,Outdoor,New York,40,1.97,34,Car,497.94,153,Mixed,1902,0.85,20.72,22136.55
Séminaire,Fundraiser,17,1446,Outdoor,Paris,38,1.67,17,Walking,486.14,308,Non-Vegetarian,1446,9.83,4.3,5628.67
Corporate Training,Trade Show,16,992,Office,London,50,1.33,16,Plane,111.38,36,Non-Vegetarian,992,9.12,43.05,5110.76
Corporate Training,Board Meeting,9,1921,Coworking Space,Berlin,28,1.72,9,Walking,138.26,331,Vegan,1921,18.99,25.78,2227.26
Événement de Bienfaisance,Product Launch,36,1198,Convention Center,Berlin,37,1.48,36,Walking,217.91,239,Mixed,1198,6.79,8.44,4011.14
Lancement de Produit,Product Launch,31,1520,Hotel,Paris,23,0.59,31,Bus,464.34,355,Vegan,1520,15.91,23.83,11700.26
Formation,Team Building,5,1098,Hotel,Sydney,31,1.1,5,Plane,163.0,249,Vegetarian,1098,12.25,32.62,11968.74
Board Meeting,Corporate Training,46,680,Hotel,Paris,45,0.99,46,Train,122.67,342,Mixed,680,17.55,14.23,4466.34
Workshop,Team Building,3,935,Hotel,Tokyo,18,0.77,3,Bus,179.02,451,Mixed,935,16.18,27.21,7289.35
Atelier,Networking Event,10,505,Office,London,42,0.76,10,Train,92.63,112,Vegetarian,505,6.04,40.95,1426.06
Réunion du Conseil,Trade Show,39,719,Coworking Space,Sydney,50,0.73,39,Walking,437.65,355,Mixed,719,4.14,13.48,2544.49
Lancement de Produit,Product Launch,36,525,Hotel,Berlin,10,0.53,36,Bus,48.91,179,Vegan,525,3.51,49.83,1252.37
Corporate Training,Fundraiser,45,1050,Coworking Space,Berlin,11,0.48,45,Bus,342.59,320,Non-Vegetarian,1050,12.85,21.37,10439.97
Product Launch,Conference,44,686,Office,New York,26,0.38,44,Bicycle,120.85,63,Vegan,686,18.64,19.93,980.5
Workshop,Product Launch,7,1511,Coworking Space,Paris,48,0.49,7,Bus,26.53,209,Non-Vegetarian,1511,6.54,19.13,5754.85
Seminar,Team Building,32,1615,Office,New York,34,1.47,32,Walking,247.0,488,Vegetarian,1615,9.42,14.31,3269.64
Seminar,Fundraiser,11,884,Office,New York,10,0.81,11,Walking,225.23,439,Mixed,884,9.43,33.91,2341.23
Product Launch,Trade Show,34,338,Office,Paris,7,0.81,34,Walking,183.87,37,Non-Vegetarian,338,14.52,47.12,1402.67
Fundraiser,Fundraiser,22,1638,Office,New York,14,0.43,22,Car,91.97,383,Non-Vegetarian,1638,9.03,46.45,13307.33
Workshop,Fundraiser,48,1260,Convention Center,Dubai,36,0.31,48,Car,306.45,479,Mixed,1260,18.23,32.08,34344.27
Formation,Conference,1,1594,Coworking Space,Sydney,13,1.44,1,Walking,437.48,394,Vegetarian,1594,14.49,19.06,2467.46
Workshop,Fundraiser,12,1660,Office,Tokyo,16,0.18,12,Train,230.43,353,Vegan,1660,3.31,4.29,4946.15
Networking,Fundraiser,34,446,Hotel,London,20,1.2,34,Plane,455.42,153,Vegetarian,446,7.16,36.5,18584.14
Product Launch,Corporate Training,25,176,Convention Center,Paris,43,1.77,25,Car,35.66,374,Non-Vegetarian,176,0.99,16.04,4402.17
Board Meeting,Trade Show,7,13,Office,London,32,0.43,7,Bicycle,6.74,346,Mixed,13,18.83,46.54,211.4
Seminar,Fundraiser,14,631,Hotel,Paris,48,1.01,14,Train,27.55,39,Mixed,631,2.55,40.21,2045.36
Atelier,Board Meeting,30,168,Outdoor,Paris,38,0.13,30,Walking,436.14,473,Vegetarian,168,15.55,2.1,361.4
Corporate Training,Product Launch,26,410,Convention Center,Sydney,11,2.0,26,Bicycle,358.98,328,Mixed,410,11.27,26.85,1387.24
Seminar,Fundraiser,45,1258,Convention Center,London,37,1.49,45,Car,465.95,390,Vegetarian,1258,17.58,3.32,41330.53
Networking Event,Corporate Training,30,973,Convention Center,London,30,1.88,30,Walking,413.88,452,Non-Vegetarian,973,12.03,26.32,4328.2
Board Meeting,Board Meeting,11,103,Office,Sydney,45,1.57,11,Bus,206.78,175,Vegetarian,103,4.71,21.26,2766.21
Réunion du Conseil,Product Launch,1,819,Convention Center,Berlin,28,1.69,1,Bus,453.9,460,Non-Vegetarian,819,8.51,23.14,15481.1
Conférence,Networking Event,7,1831,Coworking Space,Paris,45,1.37,7,Car,464.47,312,Non-Vegetarian,1831,5.39,46.54,37160.21
Team Building,Conference,33,592,Hotel,Dubai,46,0.5,33,Car,307.73,362,Non-Vegetarian,592,7.91,28.85,25918.65
Networking,Seminar,40,1319,Coworking Space,London,26,1.41,40,Plane,264.9,337,Mixed,1319,10.43,30.47,26430.32
Fundraiser,Networking Event,28,903,Convention Center,Paris,50,1.92,28,Walking,309.52,441,Vegan,903,17.77,46.49,2375.52
Événement de Bienfaisance,Seminar,40,790,Convention Center,London,27,0.27,40,Bus,488.84,16,Non-Vegetarian,790,14.38,44.91,3498.67
Lancement de Produit,Product Launch,9,1803,Hotel,Tokyo,42,1.58,9,Plane,90.73,462,Mixed,1803,6.84,4.66,15308.44
Conférence,Team Building,34,794,Convention Center,Berlin,20,0.49,34,Plane,78.61,294,Vegetarian,794,5.1,19.59,7184.82
Trade Show,Fundraiser,39,1846,Hotel,London,41,0.44,39,Walking,104.14,226,Vegetarian,1846,15.04,16.12,3183.1
Événement de Bienfaisance,Workshop,37,1030,Outdoor,Berlin,43,1.6,37,Bicycle,148.12,168,Vegan,1030,16.76,47.24,2430.8
